0,1,2,3,4,5,6
S. No.,Project Name,InstalledCapacity (MW),Type,Location (District),State,Commissioned Date
68,LEPL Projects Ltd,5.00,Solar,Jodhpur,Rajasthan,26-Feb-2013
69,Jakson Power Pvt. Ltd,10.00,Solar,Jodhpur,Rajasthan,26-Feb-2013
70,Jakson Power Pvt. Ltd,10.00,Solar,Jodhpur,Rajasthan,26-Feb-2013
71,"Symphony Vyapaar Pvt.Ltd.,",5.00,Solar,Jodhpur,Rajasthan,26-Feb-2013
72,Lexicon Vanijya Pvt. Ltd(Part-I),6.00,Solar,Jodhpur,Rajasthan,26-Feb-2013
73,"Symphony Vyapaar Pvt.Ltd.,",5.00,Solar,Jodhpur,Rajasthan,27-Feb-2013
74,Lexicon Vanijya Pvt. Ltd(Part-II),4.00,Solar,Jodhpur,Rajasthan,1-Mar-2013
75,Giriraj Enterprises,11.00,Solar,Jodhpur,Rajasthan,21-Mar-2013
76,Giriraj Enterprises,19.00,Solar,Jodhpur,Rajasthan,21-Mar-2013
77,Giriraj Enterprises,3.00,Solar,Jodhpur,Rajasthan,21-Mar-2013
