0,1,2,3,4,5,6
S.No,Name of the Project,InstalledCapacity(MW),Type,Location(District),State,Date ofCommission
374,Azure Power India Pvt Ltd,50.00,Solar,Tumkur,Karnataka,12-Mar-2019
375,ReNew Solar Power Pvt Ltd,50.00,Solar,Tumkur,Karnataka,20-Mar-2019
376,ReNew Solar Power Pvt Ltd,50.00,Solar,Tumkur,Karnataka,20-Mar-2019
377,"Tata Power Rnewable Energy Ltd.,",50.00,Solar,Tumkur,Karnataka,25-Mar-2019
378,"Tata Power Rnewable Energy Ltd.,",50.00,Solar,Tumkur,Karnataka,25-Mar-2019
379,ReNew Solar Power Pvt Ltd,50.00,Solar,Tumkur,Karnataka,28-Mar-2019
380,Wardha Solar (Maharashtra)Pvt Ltd SPV ofParamapujya Solar Energy Pvt Ltd,40.00,Solar,Vijaypura,Karnataka,05-04-2018
381,United Telecoms Ltd (M/s United SuryaEnergy Pvt Limited),3.00,solar,Chitradurga,Karnataka,
382,"Karanataka Power Corporation Limited,Bangalore",10.00,solar,Haveri,Karnataka,
383,Sagitaur Venture India Pvt Ltd,34.00,Solar,Chitradurga,Karnataka,
,Total (MW),5944.06,,,,
