0,1,2,3,4,5,6
S.No.,Developer Name,Installed  Capacity(MW),Type,Location (District),State,Date ofCommissioning
216,Swena Energy,0.98,Solar,Morbi,Gujarat,29-Mar-2019
217,Vyom Energy,0.98,Solar,Morbi,Gujarat,29-Mar-2019
218,M S Synthetics,0.54,Solar,Bharuch,Gujarat,31-Mar-2019
219,GIPCL,32.09,Solar,Charanka,Gujarat,3-Apr-2019
220,KPI Global Infrastructure Ltd.,2.20,Solar,Bharuch,Gujarat,30-Apr-2019
221,GIPCL,38.75,Solar,Charanka,Gujarat,4-May-2019
222,Active Sun Power,0.84,Solar,Surendranagar,Gujarat,11-May-2019
223,Gujarat State Fertilisers &Chemical Ltd.,12.92,Solar,Charanka,Gujarat,20-May-2019
224,Shri Mahavir Crimpers,0.32,Solar,Bharuch,Gujarat,30-May-2019
225,Gujarat Alkalies and ChemicalsLtd.,8.32,Solar,Charanka,Gujarat,1-Jun-2019
226,GIPCL,25.66,Solar,Charanka,Gujarat,4-Jun-2019
227,KPI Global Infrastructure Ltd.,8.83,Solar,Bharuch,Gujarat,28-Jun-2019
228,ONGC,6.24,Solar,Bharuch,Gujarat,6-Jul-2019
229,Farmson PharmaceuticalGujarat Pvt. Ltd.,1.00,Solar,Banaskantha,Gujarat,10-Jul-2019
230,Panoli Intermediates (India) Pvt.Ltd.,3.99,Solar,Bharuch,Gujarat,15-Jul-2019
231,Saint Gobain Glass India Ltd.,1.93,Solar,Bharuch,Gujarat,27-Jul-2019
232,Kohler India Corporation Pvt.Ltd.,0.55,Solar,Bharuch,Gujarat,27-Jul-2019
233,GB Energy,0.50,Solar,Rajkot,Gujarat,4-Sep-2019
