0,1,2,3,4,5,6
S.No,Name of the Project,InstalledCapacity(MW),Type,Location(District),State,Date ofCommission
297,Embassy Services Pvt  Ltd,60.00,Solar,Bellary,Karnataka,28-Feb-2018
298,"Avaada Power Prvt Ltd (Avaada SustainableEnergy Pvt. Ltd.,)",30.00,Solar,Chitradurga,Karnataka,2-Mar-2018
299,Adani Green Energy,20.00,Solar,Ramanagara,Karnataka,2-Mar-2018
300,Renew Wind Energy (Budh 3) Pvt Ltd,20.00,Solar,Bidar,Karnataka,9-Mar-2018
301,Adani Green Energy,20.00,Solar,Tumkur,Karnataka,9-Mar-2018
302,Wardha Solar (Maharashtra)Pvt Ltd SPV ofParamapujya Solar Energy Pvt Ltd,10.00,Solar,Koppal,Karnataka,9-Mar-2018
303,Wardha Solar (Maharashtra)Pvt Ltd SPV ofParamapujya Solar Energy Pvt Ltd,10.00,Solar,Vijaypura,Karnataka,13-Mar-2018
304,Clean Solar Power (Gulbarga) Pvt LimitedSPV of Hero Solar Energy Private Limited,40.00,Solar,Raichur,Karnataka,14-Mar-2018
305,Clean Solar Power (Gulbarga) Pvt LimitedSPV of Hero Solar Energy Private Limited,40.00,Solar,Bidar,Karnataka,14-Mar-2018
306,Matrix Green Energy Private Limited,8.50,Solar,Yadgiri,Karnataka,15-Mar-2018
307,ACME Koppal Solar Energy Private LimitedSPV of ACME Solar Holdings Pvt  Ltd,40.00,Solar,Kalaburgi,Karnataka,16-Mar-2018
